amount,content,course,deadline,links,title
Up to $2000,Applications are now open for a scholarships contest programme for 2022-2023! Our goal is to provide financial assistance and mentorship to students without the necessary means who demonstrate alignment with our values and want to...,"Master, Bachelor, Course",01-Jul-22,/scholarship/global-student-contest-scholarships-2022-2023,Global Student Contest Scholarships 2022-2023
100% of the tuition fee,"The Institute of Customer Management Online MBA Scholarships are meant for those who can not afford the tuition fee, are exceptional candidates, and would like to study for the MBA programme online. This scholarship covers 100% of...",Master,15-Jan-22,/scholarship/icm-online-mba-scholarships,ICM Online MBA Scholarships
"£15,000 (out of £18,000)","The Commonwealth MBA Scholarships (Partial) are open to students from Commonwealth states. This programme is meant for those who qualify for the MBA programme, but can not afford the full cost. The award covers £15,000 of the tuit...",Master,15-Jan-22,/scholarship/commonwealth-mba-scholarships-partial,Commonwealth MBA Scholarships (Partial)
Up to 80% discount in tuition fee,The Siemens MBA Scholarship is a competitive scholarship for MBA students. The award covers around 80% of the tuition fee for the ICM MBA programme....,Master,15-Jan-22,/scholarship/siemens-mba-scholarship-partial,Siemens MBA Scholarship (partial)
$1800,"Windsor University is happy to announce that countries with certain current circumstances, including Afghanistan, Belarus, Burma, Cote D’Ivoire (Ivory Coast), Cuba, Democratic Republic of Congo, Iran, Iraq, Liberia, North Korea, S...",Master,31-Dec-21,/scholarship/international-student-scholarship-for-afghanistan-syria-and-so-on,"International Student Scholarship for Afghanistan, Syria, and so on"
$250,"At Scrintal we are motivated to give back to society. With this aim, we started the Scrintal 2021 Scholarship Programme to provide motivated undergraduate students with a financial aid opportunity.The scholarship aims to support t...","Master, Bachelor",25-Dec-21,/scholarship/student-grant,Student Grant
"Up to $2,000",KDS announces a scholarships contest programme for 2022! Our goal is to provide financial assistance and mentorship to students without the necessary means who demonstrate alignment with our values and want to further their educat...,"Master, Bachelor, Course",20-Dec-22,/scholarship/global-scholarships-international-competition-2022,Global Scholarships International Competition 2022
67% tuition fee discount,"Windsor University offers a Master's degree in Business administration MBA for two years program duration.Windsor has three intakes every year, every four months.The instructions are in the English language by American and other n...",Master,31-Dec-21,/scholarship/master-degree-mba-without-ielts-scholarship,Master degree MBA Without IELTS Scholarship
"$3,000","ForoLAC is pleased to announce the launch of a new round of LAPTOP Scholarships offering up to US$3,000 per individual to help defray the costs of a course of study in supply chain management. These scholarships seek to motivate y...","Master, Bachelor, Phd, Course",30-Nov-21,/scholarship/laptop-supply-chain-scholarship,LAPTOP - Supply Chain Scholarship
"Up to $1,500",KAS is proud to announce our 2022 Scholarship Programme! Our goal is to provide financial assistance and mentorship to students without the necessary means who demonstrate alignment with our values and want to further their educat...,"Master, Bachelor, Course",01-Jun-22,/scholarship/contest-scholarship-programme-for-international-students-2022,Contest Scholarship Programme for International Students 2022
Grant + other benefits,"At Scrintal, we are motivated to give back to society. With this aim, we started the Scrintal 2021 Scholarship Programme to provide motivated undergraduate students with a financial aid opportunity.The scholarship aims to support ...",Bachelor,25-Dec-21,/scholarship/scrintal-2021-scholarship-programme,Scrintal 2021 Scholarship Programme
